id,billable,nonbillable,total,billable_ratio
1515,92.85,0.0,92.85,100
624,1524.3300000000002,0.0,1524.3300000000002,100
1400,732.3000000000002,0.0,732.3000000000002,100
1405,4469.999999999991,0.0,4469.999999999991,100
1421,121.6,0.0,121.6,100
1437,126.35,0.0,126.35,100
1438,200.84999999999997,0.0,200.84999999999997,100
1439,136.35000000000002,0.0,136.35000000000002,100
1440,102.55,0.0,102.55,100
649,609.95,0.0,609.95,100
1442,246.55,0.0,246.55,100
1388,210.63,0.0,210.63,100
1459,36.500000000000014,0.0,36.500000000000014,100
1460,30.8,0.0,30.8,100
1461,21.0,0.0,21.0,100
1464,199.48000000000002,0.0,199.48000000000002,100
1465,122.6,0.0,122.6,100
1466,199.65,0.0,199.65,100
1467,43.25,0.0,43.25,100
1470,167.58,0.0,167.58,100
1398,620.79,0.0,620.79,100
1387,381.6999999999999,0.0,381.6999999999999,100
1475,187.12,0.0,187.12,100
1060,424.66,0.0,424.66,100
1207,98.25,0.0,98.25,100
1209,4.25,0.0,4.25,100
1259,68.35,0.0,68.35,100
1279,1087.2699999999998,0.0,1087.2699999999998,100
1299,1483.2799999999997,0.0,1483.2799999999997,100
1302,360.59999999999997,0.0,360.59999999999997,100
1305,97.75,0.0,97.75,100
1306,99.69999999999999,0.0,99.69999999999999,100
1058,738.9,0.0,738.9,100
1386,146.7,0.0,146.7,100
1335,35.25,0.0,35.25,100
1345,762.52,0.0,762.52,100
1363,649.3400000000005,0.0,649.3400000000005,100
979,744.0,0.0,744.0,100
1371,827.170000000001,0.0,827.170000000001,100
1374,68.50000000000001,0.0,68.50000000000001,100
1379,118.35,0.0,118.35,100
1385,53.85000000000001,0.0,53.85000000000001,100
1471,115.86999999999999,0.0,115.86999999999999,100
1389,74.67,0.0,74.67,100
1496,113.82999999999998,0.0,113.82999999999998,100
1507,456.74999999999994,0.0,456.74999999999994,100
75,15.5,0.0,15.5,100
1487,498.0699999999998,0.0,498.0699999999998,100
1489,102.37,0.0,102.37,100
1476,182.65999999999997,0.0,182.65999999999997,100
1509,433.68,0.0,433.68,100
1510,178.0,0.0,178.0,100
1500,215.90000000000003,0.0,215.90000000000003,100
1512,376.74999999999994,0.0,376.74999999999994,100
1494,146.35,0.0,146.35,100
1513,48.239999999999995,0.0,48.239999999999995,100
1481,204.14999999999998,0.0,204.14999999999998,100
1480,112.89,0.0,112.89,100
1514,158.0,0.0,158.0,100
1498,104.64999999999999,0.0,104.64999999999999,100
1497,151.98,0.0,151.98,100
1479,157.20999999999998,0.0,157.20999999999998,100
1508,168.3,0.0,168.3,100
1499,159.14000000000001,1.25,160.39000000000001,99
1474,447.00000000000006,1.5,448.50000000000006,99
1511,104.05,0.5,104.55,99
1454,404.6,0.5,405.1,99
1443,535.2499999999999,6.35,541.5999999999999,98
1341,1193.4800000000002,22.55,1216.0300000000002,98
1435,3419.0499999999993,48.75,3467.7999999999993,98
1264,315.95,5.7,321.65,98
1412,5188.169999999985,143.75000000000003,5331.919999999985,97
1401,2830.1399999999894,90.5,2920.6399999999894,96
1495,611.4799999999999,32.0,643.4799999999999,95
1198,924.2199999999999,41.25,965.4699999999999,95
1502,341.85,19.9,361.75,94
1393,2357.6499999999983,167.35,2524.999999999998,93
1419,1733.8299999999995,141.25,1875.0799999999995,92
1327,4103.12,448.3,4551.42,90
1247,1347.7,165.6,1513.3,89
1392,1712.919999999999,204.0,1916.919999999999,89
1485,418.8,52.0,470.8,88
1342,3138.2900000000004,412.5,3550.7900000000004,88
1455,1886.45,276.7,2163.15,87
401,2464.1500000000005,340.85,2805.0000000000005,87
1380,1002.9200000000023,144.88,1147.8000000000025,87
1309,118.15,17.0,135.15,87
1456,1308.76,185.25,1494.01,87
1378,425.75000000000045,67.75,493.50000000000045,86
1161,1352.3699999999997,215.95,1568.3199999999997,86
1028,4089.41,678.8000000000001,4768.21,85
1344,930.23,157.8,1088.03,85
384,1094.3100000000002,179.0,1273.3100000000002,85
991,2692.360000000001,451.97,3144.330000000001,85
1228,141.29999999999998,25.87,167.17,84
1303,350.15,67.25,417.4,83
1446,539.6200000000001,106.5,646.1200000000001,83
1282,1099.3100000000002,213.5,1312.8100000000002,83
1120,344.95,69.85,414.79999999999995,83
350,1086.48,233.95,1320.43,82
1119,1579.259999999999,349.95,1929.2099999999991,81
1092,6035.639999999999,1403.8500000000001,7439.49,81
1094,1050.15,239.55,1289.7,81
1457,528.29,123.85,652.14,81
890,3017.6299999999983,718.6999999999999,3736.329999999998,80
1323,1193.3999999999994,295.75,1489.1499999999994,80
1468,739.12,179.25,918.37,80
1483,567.1999999999999,139.3,706.5,80
1462,184.9,43.85,228.75,80